n,element_added,asks_covered,asks_eliminated,pct_of_achievable
1,EST_NAME,37,36,14.1
2,EMP_NAME,56,54,21.1
3,LIN,71,68,26.6
4,EST_ADDRESS,85,81,31.6
5,EMPLOYER_NAME,98,93,36.3
6,WAGE_COMPONENTS,111,105,41.0
7,AUTHORISED_PERSON,119,112,43.8
8,EMP_DESIGNATION,127,119,46.5
9,CONTRACTOR_LIST,135,126,49.2
10,PAN,143,133,52.0
11,REG_NO_UNDER_CODE,150,139,54.3
12,UAN,157,145,56.6
13,EMP_DOJ,164,151,59.0
14,ATTENDANCE_DAYS,171,157,61.3
15,HEADCOUNT_MATRIX,177,162,63.3
16,EPF_CODE,183,167,65.2
17,ESIC_IP_NO,188,171,66.8
18,CONTRIBUTION_PAID,193,175,68.4
19,EMPLOYER_CONTACT,197,178,69.5
20,ENTITY_TYPE,201,181,70.7
21,EMP_FATHER_SPOUSE,205,184,71.9
22,NOMINEE_DETAILS,209,187,73.0
23,SEPARATIONS,213,190,74.2
24,CONTRIBUTION_ASSESSED,217,193,75.4
25,ESIGN,221,196,76.6
26,PAYMENT_REFS,225,199,77.7
27,RETURN_PERIOD,228,201,78.5
28,EMP_DOB,231,203,79.3
29,EMP_SEX,234,205,80.1
30,MATERNITY_EVENT_DATES,237,207,80.9
31,BANK_ACCOUNT,240,209,81.6
32,SITE_LOCATION,243,211,82.4
33,CORRESPONDENCE_ADDR,246,213,83.2
34,CONSTRUCTION_NATURE,249,215,84.0
35,COMMENCEMENT_DATE,252,217,84.8
36,WORK_DURATION,255,219,85.5
37,PARTY_CASE_DETAILS,258,221,86.3
38,EPF_ESI_CODES,261,223,87.1
39,AADHAAR,264,225,87.9
40,GST_NO,267,227,88.7
41,TAX_DEDUCTED,270,229,89.5
42,NATURE_OF_BUSINESS,272,230,89.8
43,BRANCH_STRUCTURE,274,231,90.2
44,GEO_COORDINATES,276,232,90.6
45,EMP_MARITAL_STATUS,278,233,91.0
46,EMP_ADDRESS,280,234,91.4
47,EXIT_CAUSE_DATE,282,235,91.8
48,SERVICE_YEARS,284,236,92.2
49,MATERNITY_PAYMENTS,286,237,92.6
50,MEDICAL_CERT,288,238,93.0
51,GIG_WORKER_COUNT,290,239,93.4
52,ANNUAL_TURNOVER,292,240,93.8
53,CONSTRUCTION_AREA,294,241,94.1
54,CONSTRUCTION_COST,296,242,94.5
55,CESS_AMOUNT,298,243,94.9
56,CESS_PAYMENTS,300,244,95.3
57,HEADER_BLOCK_REPEAT,302,245,95.7
58,NIC_CODE,304,246,96.1
59,OPERATION_EVENT,306,247,96.5
60,ACCIDENT_EVENT,308,248,96.9
61,WAGE_PERIOD,310,249,97.3
62,ENFORCEMENT_PARTICULARS,312,250,97.7
63,STRIKE_LOCKOUT,314,251,98.0
64,SEPARATION_REASON,316,252,98.4
65,SEPARATION_NOTICE,318,253,98.8
66,CIN,320,254,99.2
67,TAN,322,255,99.6
68,EMP_DECLARATIONS,324,256,100.0
69,EMP_RELIGION,325,256,100.0
70,EMP_DEPT,326,256,100.0
71,EMP_SUPERANNUATION,327,256,100.0
72,PF_NO,328,256,100.0
73,MIGRANT_COUNT,329,256,100.0
74,FTE_COUNT,330,256,100.0
75,HOURS_SHIFTS,331,256,100.0
76,WELFARE_AMENITIES,332,256,100.0
77,IR_BODIES,333,256,100.0
78,MANDAYS_LOST,334,256,100.0
79,MATERNITY_STATS,335,256,100.0
80,BONUS_PAID,336,256,100.0
81,ACCIDENT_STATS,337,256,100.0
82,MINE_IDENTITY,338,256,100.0
83,MINE_SAFETY_PARAMS,339,256,100.0
84,MINE_HEALTH_TRAINING,340,256,100.0
85,MINE_SAFETY_PLAN,341,256,100.0
86,VACANCY_PARTICULARS,342,256,100.0
87,VACANCY_FLOWS,343,256,100.0
88,VACANCY_SHORTAGES,344,256,100.0
89,VACANCY_FORECAST,345,256,100.0
90,COMPLETION_DATE,346,256,100.0
91,GROUNDS_FACTS,347,256,100.0
92,RELIEF_AMOUNTS,348,256,100.0
93,MANAGER_DETAILS,349,256,100.0
94,SECTOR_BLOCK,350,256,100.0
95,ESIC_EMPLOYER_CODE,351,256,100.0
96,INJURED_PERSON,352,256,100.0
97,ACCIDENT_LOCATION,353,256,100.0
98,WORK_PERIODS,354,256,100.0
99,EMP_CONTACT,355,256,100.0
100,EPS_NPS,356,256,100.0
101,EMP_PAY_HISTORY,357,256,100.0
102,XVII_AGGREGATES,358,256,100.0
103,MINE_BLOCKS,359,256,100.0
104,IT_BENEFIT,360,256,100.0
105,IT_ARTEFACTS,361,256,100.0
106,LICENCE_PARTICULARS,362,256,100.0
107,WORKER_CERT,363,256,100.0
108,AGREEMENT_PARTICULARS,364,256,100.0
109,STANDING_ORDER_STATUS,365,256,100.0
110,SERVICE_CHANGE,366,256,100.0
111,SETTLEMENT_TERMS,367,256,100.0
112,ARBITRATION_TERMS,368,256,100.0
113,MONEY_CLAIM,369,256,100.0
114,DECLARATIONS,370,256,100.0
115,CONTRACT_COMMERCIALS,371,256,100.0
116,PT_REG_NO,372,256,100.0
117,LWF_REG_NO,373,256,100.0
118,FIN_STATEMENTS,374,256,100.0
119,PRODUCTION_DATA,375,256,100.0
120,GROUP_COMPANIES,376,256,100.0
